network,station,longitude,latitude,elevation
YW,4509,-97.636386,36.617889,320.5
YW,4510,-97.636929,36.617889,319.1
YW,4511,-97.637472,36.617889,317.1
YW,4512,-97.638015,36.617889,315.9
YW,4513,-97.638558,36.617889,314.5
YW,4514,-97.638524,36.618354,314.4
YW,4515,-97.638558,36.618765,314.8
YW,4516,-97.638558,36.619203,315.9
YW,4601,-97.639643,36.620516,317.5
YW,4602,-97.638558,36.620516,320.6
YW,4603,-97.637472,36.620516,320.2
YW,4604,-97.636386,36.620516,317.0
YW,4605,-97.6353,36.620516,319.1
YW,4606,-97.6353,36.61964,321.5
YW,4607,-97.6353,36.618765,323.3
YW,4608,-97.6353,36.617889,321.8
YW,4609,-97.6353,36.617014,317.0
YW,4612,-97.638558,36.617014,314.2
YW,4613,-97.639643,36.617014,316.0
YW,4614,-97.639643,36.617889,315.1
YW,4615,-97.639643,36.618765,314.5
YW,4616,-97.639643,36.61964,315.3
YW,4701,-97.641759,36.622222,316.3
YW,4702,-97.639643,36.622222,317.4
YW,4703,-97.637472,36.622267,318.1
YW,4704,-97.6353,36.622267,320.0
YW,4705,-97.633128,36.622267,322.9
YW,4706,-97.633128,36.620516,323.4
YW,4707,-97.633128,36.618765,323.1
YW,4708,-97.633128,36.617014,319.0
YW,4709,-97.633128,36.615263,323.8
YW,4710,-97.6353,36.615263,318.6
YW,4711,-97.637472,36.615263,315.2
YW,4712,-97.639643,36.615263,318.3
YW,4713,-97.641815,36.615263,323.6
YW,4714,-97.641798,36.617014,320.4
YW,4715,-97.641815,36.618765,314.8
YW,4716,-97.641815,36.620516,314.8
YW,5002,-97.659952,36.623588,317.7
YW,5003,-97.659958,36.622806,317.0
YW,5004,-97.659961,36.622506,317.0
YW,5005,-97.659972,36.621926,316.5
YW,5006,-97.65998,36.621626,316.1
YW,5007,-97.65999,36.620869,315.4
YW,5008,-97.659973,36.619985,314.7
YW,5009,-97.662829,36.622312,320.4
YW,5010,-97.661705,36.622309,319.4
YW,5011,-97.660767,36.622307,318.2
YW,5012,-97.660395,36.622306,317.7
YW,5013,-97.659636,36.622386,316.3
YW,5014,-97.659263,36.622385,315.4
YW,5015,-97.658332,36.622391,313.4
YW,5016,-97.657208,36.622397,312.5
YW,5017,-97.695883,36.623667,322.3
YW,5018,-97.695878,36.622911,322.4
YW,5019,-97.695876,36.622611,322.3
YW,5020,-97.695879,36.622005,321.7
YW,5021,-97.695884,36.621705,321.5
YW,5022,-97.695889,36.620948,322.1
YW,5023,-97.697675,36.622444,319.6
YW,5025,-97.696366,36.622436,321.0
YW,5026,-97.695607,36.622448,322.8
YW,5027,-97.695234,36.622447,323.4
YW,5028,-97.694303,36.622449,323.6
#YW,5031,-97.70876,36.608081,326.6
#YW,5032,-97.70862,36.608111,326.5
#YW,5033,-97.70874,36.608071,326.6
#YW,5034,-97.7086,36.608091,326.5
